DATA,606/1042,606/1050,606/985
06/08/1987 00:00,22.11,16.81,
12/08/1987 00:00,,,
19/08/1987 00:00,8.75,,
04/09/1987 00:00,18.66,16.31,
11/09/1987 00:00,8.74,,
03/10/1987 00:00,17.61,15.13,
24/10/1987 00:00,8.49,,
06/11/1987 00:00,17.41,16.01,
10/11/1987 00:00,,,
02/12/1987 00:00,12.11,,
04/12/1987 00:00,17.26,15.93,
09/12/1987 00:00,,,
04/01/1988 00:00,22.18,,
05/01/1988 00:00,16.86,17.31,
06/01/1988 00:00,,,
02/02/1988 00:00,,,
04/02/1988 00:00,16.27,16.51,
25/02/1988 00:00,22.37,,
08/03/1988 00:00,16.21,16.59,
23/03/1988 00:00,22.33,,
04/04/1988 00:00,,,
08/04/1988 00:00,16.21,18.24,
20/04/1988 00:00,22.22,,
06/05/1988 00:00,,14.45,
18/05/1988 00:00,,,
20/05/1988 00:00,21.91,,
02/06/1988 00:00,13.61,,
05/06/1988 00:00,,13.11,
08/06/1988 00:00,21.06,,
09/06/1988 00:00,,,
01/07/1988 00:00,,11.88,
06/07/1988 00:00,20.21,,
03/08/1988 00:00,,,
04/08/1988 00:00,11.51,11.31,
03/09/1988 00:00,11.11,11.01,
08/09/1988 00:00,,,
05/10/1988 00:00,15.61,9.31,
14/10/1988 00:00,,,
04/11/1988 00:00,10.01,10.31,
08/11/1988 00:00,,,
09/11/1988 00:00,18.21,,
04/12/1988 00:00,,9.81,
06/12/1988 00:00,9.71,,
07/12/1988 00:00,21.21,,
03/01/1989 00:00,21.21,,
06/01/1989 00:00,,,
07/01/1989 00:00,13.21,16.47,
02/02/1989 00:00,13.46,15.11,
08/02/1989 00:00,21.21,,
09/02/1989 00:00,,,
03/03/1989 00:00,13.8,14.39,
06/03/1989 00:00,21.85,,
05/04/1989 00:00,13.32,14.83,
06/04/1989 00:00,21.21,,
05/05/1989 00:00,21.31,14.99,
06/05/1989 00:00,13.71,,
31/05/1989 00:00,12.03,,
05/06/1989 00:00,20.61,,
06/06/1989 00:00,,14.91,
30/06/1989 00:00,12.14,,
05/07/1989 00:00,,11.61,
06/07/1989 00:00,20.51,,
07/07/1989 00:00,,,
03/08/1989 00:00,,,
04/08/1989 00:00,,9.66,
07/08/1989 00:00,20.01,,
05/09/1989 00:00,,,
06/09/1989 00:00,16.21,,
08/09/1989 00:00,9.56,8.96,
04/10/1989 00:00,,9.46,
06/10/1989 00:00,16.05,,
09/10/1989 00:00,,,
06/11/1989 00:00,17.16,,
07/11/1989 00:00,11.16,18.05,
06/12/1989 00:00,11.91,14.84,
13/12/1989 00:00,34.12,,
14/12/1989 00:00,,,
03/01/1990 00:00,38,,
04/01/1990 00:00,12.31,14.94,
05/02/1990 00:00,35.31,,
06/02/1990 00:00,12.51,14.51,
02/03/1990 00:00,13.01,18.43,
05/03/1990 00:00,,,
06/03/1990 00:00,33.61,,
05/04/1990 00:00,,,
06/04/1990 00:00,33.05,,
10/04/1990 00:00,12.21,14.11,
04/05/1990 00:00,31.91,,
08/05/1990 00:00,12.11,11.18,
08/06/1990 00:00,30.13,,
11/06/1990 00:00,,,
04/07/1990 00:00,27.71,,
07/07/1990 00:00,11.41,10.91,
09/07/1990 00:00,,,
08/08/1990 00:00,8.61,10.46,
23/08/1990 00:00,24.74,,
31/08/1990 00:00,8.21,,
05/09/1990 00:00,,,
03/10/1990 00:00,24.21,,
04/10/1990 00:00,,,
09/10/1990 00:00,,8.03,
06/11/1990 00:00,22.51,,
07/11/1990 00:00,8.16,8.49,
05/12/1990 00:00,22.1,,
11/12/1990 00:00,8.81,9.73,
03/01/1991 00:00,8.68,8.39,
07/01/1991 00:00,23.12,,
09/01/1991 00:00,,,
02/02/1991 00:00,8.61,8.56,
04/02/1991 00:00,,,
06/02/1991 00:00,22.61,,
05/03/1991 00:00,8.51,8.48,
06/03/1991 00:00,23.96,,
18/03/1991 00:00,,24.41,
05/04/1991 00:00,24.26,24.01,
08/04/1991 00:00,,,
09/04/1991 00:00,8.11,6.93,
03/05/1991 00:00,7.47,7.22,
06/05/1991 00:00,23.21,22.11,
07/05/1991 00:00,,,
06/06/1991 00:00,23.21,19.41,
07/06/1991 00:00,6.61,5.3,
11/06/1991 00:00,,,
03/07/1991 00:00,,,
04/07/1991 00:00,21.61,17.95,
