  days  vol_upper      vol_lower      vol_drain      vol_macro      del_vol_upper  del_vol_lower  del_vol_drain  del_vol_macro  rainfall       irrigation     drain_upper    macro_upper    drain_lower    overflow_lower total_rech     gw_withdrawal  net_recharge   runoff         pot_evap_upper evap_upper     pot_evap_lower evap_lower     gw_pot_evap    balance        elevation      depth-to-water 
   516  0.1746846       0.000000      1.2469005E-03   0.000000     -3.2171544E-02   0.000000     -1.5377455E-03   0.000000      1.2000001E-03   0.000000      1.2602215E-02   0.000000       0.000000       0.000000      1.2602215E-02   0.000000      1.2602215E-02   0.000000      6.6801631E-02  2.2307075E-02   0.000000       0.000000      4.4494556E-02 -5.8546917E-17   1.603228      -1.603228    
   546  0.1511811       0.000000      6.3573153E-04   0.000000     -2.3503517E-02   0.000000     -6.1116897E-04   0.000000      2.0000001E-04   0.000000      5.7222536E-03   0.000000       0.000000       0.000000      5.7222536E-03   0.000000      5.7222536E-03   0.000000      6.6138586E-02  1.8592432E-02   0.000000       0.000000      4.7546154E-02 -5.3125906E-17   1.468823      -1.468823    
   577  0.1315649       0.000000      3.3497463E-04   0.000000     -1.9616212E-02   0.000000     -3.0075690E-04   0.000000       0.000000       0.000000      3.0530658E-03   0.000000       0.000000       0.000000      3.0530658E-03   0.000000      3.0530658E-03   0.000000      6.9884783E-02  1.6863903E-02   0.000000       0.000000      5.3020880E-02  9.6493993E-18   1.351286      -1.351286    
   608  0.1151763       0.000000      1.8220544E-04   0.000000     -1.6388536E-02   0.000000     -1.5276919E-04   0.000000       0.000000       0.000000      1.6303462E-03   0.000000       0.000000       0.000000      1.6303462E-03   0.000000      1.6303462E-03   0.000000      7.1451630E-02  1.4910959E-02   0.000000       0.000000      5.6540672E-02  8.5977232E-17   1.248482      -1.248482    
   638  0.2186630       0.000000      1.1998665E-03   0.000000      0.1034866       0.000000      1.0176611E-03   0.000000      0.1214000       0.000000      1.4842982E-03   0.000000       0.000000       0.000000      1.4842982E-03   0.000000      1.4842982E-03   0.000000      7.0638586E-02  1.5411435E-02   0.000000       0.000000      5.5227151E-02 -3.1875544E-17   1.840168      -1.840168    
   669  0.2251164       0.000000      4.2282615E-03   0.000000      6.4534338E-03   0.000000      3.0283950E-03   0.000000      6.0999999E-02   0.000000      2.1458578E-02   0.000000       0.000000       0.000000      2.1458578E-02   0.000000      2.1458578E-02   0.000000      7.4534783E-02  3.0059593E-02   0.000000       0.000000      4.4475190E-02 -8.5001450E-17   1.873626      -1.873626    
   699  0.2345495       0.000000      5.1884610E-03   0.000000      9.4330919E-03   0.000000      9.6019959E-04   0.000000      8.5200001E-02   0.000000      4.1094692E-02   0.000000       0.000000       0.000000      4.1094692E-02   0.000000      4.1094692E-02   0.000000      7.3622282E-02  3.3712017E-02   0.000000       0.000000      3.9910265E-02  5.1174343E-17   1.922008      -1.922008    
   730  0.3091842       0.000000      2.2719983E-02   0.000000      7.4634716E-02   0.000000      1.7531522E-02   0.000000      0.2502000       0.000000      0.1148878       0.000000       0.000000       0.000000      0.1148878       0.000000      0.1148878       0.000000      7.7617935E-02  4.3145921E-02   0.000000       0.000000      3.4472014E-02  1.5959456E-16   2.286498      -2.286498    
   761  0.2462036       0.000000      6.6160750E-03   0.000000     -6.2980601E-02   0.000000     -1.6103908E-02   0.000000      5.0800001E-02   0.000000      8.9258943E-02   0.000000       0.000000       0.000000      8.9258943E-02   0.000000      8.9258943E-02   0.000000      7.9184782E-02  4.0625566E-02   0.000000       0.000000      3.8559216E-02  1.8735014E-16   1.980974      -1.980974    
   790  0.2021576       0.000000      2.3537390E-03   0.000000     -4.4046016E-02   0.000000     -4.2623359E-03   0.000000      9.8000003E-03   0.000000      2.5886389E-02   0.000000       0.000000       0.000000      2.5886389E-02   0.000000      2.5886389E-02   0.000000      8.1872827E-02  3.2221963E-02   0.000000       0.000000      4.9650864E-02 -8.1532003E-17   1.753173      -1.753173    
   821  0.2154400       0.000000      3.4010866E-03   0.000000      1.3282462E-02   0.000000      1.0473475E-03   0.000000      8.0399999E-02   0.000000      2.3800633E-02   0.000000       0.000000       0.000000      2.3800633E-02   0.000000      2.3800633E-02   0.000000      0.1045000      4.2269557E-02   0.000000       0.000000      6.2230445E-02 -3.0357661E-18   1.823346      -1.823346    
   851  0.1921386       0.000000      2.1219238E-03   0.000000     -2.3301473E-02   0.000000     -1.2791628E-03   0.000000      5.7800000E-02   0.000000      2.4879041E-02   0.000000       0.000000       0.000000      2.4879041E-02   0.000000      2.4879041E-02   0.000000      0.1459000      5.7501594E-02   0.000000       0.000000      8.8398405E-02 -5.1174343E-17   1.699286      -1.699286    
   882  0.1431425       0.000000      5.4877816E-04   0.000000     -4.8996052E-02   0.000000     -1.5731456E-03   0.000000      1.9000000E-02   0.000000      9.0950021E-03   0.000000       0.000000       0.000000      9.0950021E-03   0.000000      9.0950021E-03   0.000000      0.2035000      6.0474196E-02   0.000000       0.000000      0.1430258     -7.2424705E-17   1.421310      -1.421310    
   912  9.9214020E-02   0.000000      1.0025833E-04   0.000000     -4.3928497E-02   0.000000     -4.4851983E-04   0.000000      1.4000000E-03   0.000000      1.7909971E-03   0.000000       0.000000       0.000000      1.7909971E-03   0.000000      1.7909971E-03   0.000000      0.2163000      4.3986020E-02   0.000000       0.000000      0.1723140     -1.3173056E-17   1.143376      -1.143376    
   943  6.3462840E-02   0.000000      1.3476434E-05   0.000000     -3.5751179E-02   0.000000     -8.6781901E-05   0.000000      2.0000001E-04   0.000000      3.2033211E-04   0.000000       0.000000       0.000000      3.2033211E-04   0.000000      3.2033211E-04   0.000000      0.2694500      3.5717629E-02   0.000000       0.000000      0.2337324     -4.6159907E-17  0.8826806     -0.8826806    
   974  4.6419909E-02   0.000000      3.0520417E-06   0.000000     -1.7042931E-02   0.000000     -1.0424392E-05   0.000000      4.0000002E-04   0.000000      4.8622726E-05   0.000000       0.000000       0.000000      4.8622726E-05   0.000000      4.8622726E-05   0.000000      0.1964500      1.7404733E-02   0.000000       0.000000      0.1790453      4.6100615E-17  0.7391982     -0.7391982    
  1004  0.1408347       0.000000      4.5746311E-04   0.000000      9.4414747E-02   0.000000      4.5441107E-04   0.000000      0.1122000       0.000000      5.0344182E-04   0.000000       0.000000       0.000000      5.0344182E-04   0.000000      5.0344182E-04   0.000000      0.1361500      1.6827404E-02   0.000000       0.000000      0.1193226      1.0039712E-16   1.407508      -1.407508    
  1035  0.1988468       0.000000      2.2875713E-03   0.000000      5.8012149E-02   0.000000      1.8301082E-03   0.000000      9.3400000E-02   0.000000      9.0734260E-03   0.000000       0.000000       0.000000      9.0734260E-03   0.000000      9.0734260E-03   0.000000      7.4600002E-02  2.4484317E-02   0.000000       0.000000      5.0115685E-02  3.9031278E-18   1.735461      -1.735461    
  1065  0.2641505       0.000000      8.0875808E-03   0.000000      6.5303664E-02   0.000000      5.8000095E-03   0.000000      0.1146000       0.000000      1.6074805E-02   0.000000       0.000000       0.000000      1.6074805E-02   0.000000      1.6074805E-02   0.000000      7.4550000E-02  2.7421523E-02   0.000000       0.000000      4.7128477E-02 -8.1532003E-17   2.070168      -2.070168    
  1096  0.2698152       0.000000      9.9294541E-03   0.000000      5.6647774E-03   0.000000      1.8418733E-03   0.000000      9.3800002E-02   0.000000      5.0352764E-02   0.000000       0.000000       0.000000      5.0352764E-02   0.000000      5.0352764E-02   0.000000      7.4400000E-02  3.5940587E-02   0.000000       0.000000      3.8459413E-02 -3.4694470E-17   2.097943      -2.097943    
  1127  0.2301725       0.000000      4.9469138E-03   0.000000     -3.9642735E-02   0.000000     -4.9825403E-03   0.000000      4.7400003E-02   0.000000      4.4955549E-02   0.000000       0.000000       0.000000      4.4955549E-02   0.000000      4.4955549E-02   0.000000      0.1045000      4.7069729E-02   0.000000       0.000000      5.7430274E-02 -9.1940344E-17   1.899634      -1.899634    
  1155  0.2482190       0.000000      5.7808099E-03   0.000000      1.8046478E-02   0.000000      8.3389603E-04   0.000000      7.7600001E-02   0.000000      1.9246785E-02   0.000000       0.000000       0.000000      1.9246785E-02   0.000000      1.9246785E-02   0.000000      0.1013000      3.9472842E-02   0.000000       0.000000      6.1827158E-02  3.2092384E-17   1.991085      -1.991085    
  1186  0.2402327       0.000000      5.6057257E-03   0.000000     -7.9862412E-03   0.000000     -1.7508419E-04   0.000000      6.9200001E-02   0.000000      3.0800432E-02   0.000000       0.000000       0.000000      3.0800432E-02   0.000000      3.0800432E-02   0.000000      0.1095941      4.6560895E-02   0.000000       0.000000      6.3033222E-02  2.6020852E-17   1.950872      -1.950872    
  1216  0.2402001       0.000000      5.9167883E-03   0.000000     -3.2616286E-05   0.000000      3.1106261E-04   0.000000      8.7200000E-02   0.000000      2.9904729E-02   0.000000       0.000000       0.000000      2.9904729E-02   0.000000      2.9904729E-02   0.000000      0.1346559      5.7016825E-02   0.000000       0.000000      7.7639058E-02  1.2143064E-17   1.950707      -1.950707    
  1247  0.1510310       0.000000      6.8123634E-04   0.000000     -8.9169159E-02   0.000000     -5.2355519E-03   0.000000      7.2000004E-03   0.000000      1.8775186E-02   0.000000       0.000000       0.000000      1.8775186E-02   0.000000      1.8775186E-02   0.000000      0.2466000      8.2829525E-02   0.000000       0.000000      0.1637705     -1.3270635E-16   1.467943      -1.467943    
  1277  9.7260553E-02   0.000000      9.2570486E-05   0.000000     -5.3770420E-02   0.000000     -5.8866586E-04   0.000000      2.0000001E-04   0.000000      2.0468296E-03   0.000000       0.000000       0.000000      2.0468296E-03   0.000000      2.0468296E-03   0.000000      0.2543000      5.2512256E-02   0.000000       0.000000      0.2017877     -9.9746600E-18   1.130120      -1.130120    
  1308  6.8536048E-02   0.000000      1.8928815E-05   0.000000     -2.8724505E-02   0.000000     -7.3641671E-05   0.000000       0.000000       0.000000      3.2144009E-04   0.000000       0.000000       0.000000      3.2144009E-04   0.000000      3.2144009E-04   0.000000      0.2094333      2.8476707E-02   0.000000       0.000000      0.1809566     -6.0037695E-17  0.9224538     -0.9224538    
  1339  5.0400214E-02   0.000000      4.3984485E-06   0.000000     -1.8135834E-02   0.000000     -1.4530366E-05   0.000000      1.0000001E-03   0.000000      6.8229700E-05   0.000000       0.000000       0.000000      6.8229700E-05   0.000000      6.8229700E-05   0.000000      0.1992081      1.9082135E-02   0.000000       0.000000      0.1801260     -5.3955999E-18  0.7743002     -0.7743002    
  1369  4.8644910E-02   0.000000      2.0532639E-06   0.000000     -1.7553039E-03   0.000000     -2.3451846E-06   0.000000      6.8000000E-03   0.000000      1.8401761E-05   0.000000       0.000000       0.000000      1.8401761E-05   0.000000      1.8401761E-05   0.000000      0.1140000      8.5392473E-03   0.000000       0.000000      0.1054608      9.7222442E-18  0.7589576     -0.7589576    
  1400  0.1563365       0.000000      3.8676440E-04   0.000000      0.1076916       0.000000      3.8471114E-04   0.000000      0.1226000       0.000000      1.6570997E-04   0.000000       0.000000       0.000000      1.6570997E-04   0.000000      1.6570997E-04   0.000000      0.1049919      1.4358018E-02   0.000000       0.000000      9.0633888E-02 -5.1499603E-18   1.498855      -1.498855    
  1430  0.2075801       0.000000      2.6716286E-03   0.000000      5.1243586E-02   0.000000      2.2848642E-03   0.000000      9.5600001E-02   0.000000      4.8662371E-03   0.000000       0.000000       0.000000      4.8662371E-03   0.000000      4.8662371E-03   0.000000      0.1240833      3.7205314E-02   0.000000       0.000000      8.6878020E-02 -6.0281641E-17   1.781989      -1.781989    
  1461  0.2266979       0.000000      4.4120829E-03   0.000000      1.9117802E-02   0.000000      1.7404543E-03   0.000000      8.7400000E-02   0.000000      3.1719032E-02   0.000000       0.000000       0.000000      3.1719032E-02   0.000000      3.1719032E-02   0.000000      8.2983335E-02  3.4822712E-02   0.000000       0.000000      4.8160623E-02  9.3675068E-17   1.881780      -1.881780    
  1492  0.1893848       0.000000      1.5777376E-03   0.000000     -3.7313013E-02   0.000000     -2.8343453E-03   0.000000      1.9400000E-02   0.000000      1.7055873E-02   0.000000       0.000000       0.000000      1.7055873E-02   0.000000      1.7055873E-02   0.000000      0.1201250      4.2491485E-02   0.000000       0.000000      7.7633515E-02 -2.6020852E-17   1.684321      -1.684321    
  1520  0.2514952       0.000000      7.2861734E-03   0.000000      6.2110316E-02   0.000000      5.7084358E-03   0.000000      0.1120000       0.000000      8.9087575E-03   0.000000       0.000000       0.000000      8.9087575E-03   0.000000      8.9087575E-03   0.000000      0.1020469      3.5272486E-02   0.000000       0.000000      6.6774389E-02 -6.0715322E-17   2.007469      -2.007469    
  1551  0.2231245       0.000000      3.5486577E-03   0.000000     -2.8370691E-02   0.000000     -3.7375157E-03   0.000000      4.3199998E-02   0.000000      3.1396476E-02   0.000000       0.000000       0.000000      3.1396476E-02   0.000000      3.1396476E-02   0.000000      0.1058359      4.3911728E-02   0.000000       0.000000      6.1924209E-02 -8.6736174E-19   1.863331      -1.863331    
  1581  0.1883453       0.000000      1.8139592E-03   0.000000     -3.4779193E-02   0.000000     -1.7346986E-03   0.000000      1.8600000E-02   0.000000      1.9379982E-02   0.000000       0.000000       0.000000      1.9379982E-02   0.000000      1.9379982E-02   0.000000      9.5273438E-02  3.5733910E-02   0.000000       0.000000      5.9539528E-02 -1.7130394E-17   1.678654      -1.678654    
  1612  0.1646406       0.000000      9.9330016E-04   0.000000     -2.3704687E-02   0.000000     -8.2065901E-04   0.000000      3.3600001E-02   0.000000      1.0832118E-02   0.000000       0.000000       0.000000      1.0832118E-02   0.000000      1.0832118E-02   0.000000      0.1453021      4.7293229E-02   0.000000       0.000000      9.8008856E-02 -3.5128150E-17   1.546559      -1.546559    
  1642  0.1092072       0.000000      1.5655313E-04   0.000000     -5.5433439E-02   0.000000     -8.3674703E-04   0.000000       0.000000       0.000000      3.2133309E-03   0.000000       0.000000       0.000000      3.2133309E-03   0.000000      3.2133309E-03   0.000000      0.2308667      5.3056855E-02   0.000000       0.000000      0.1778098     -9.9963440E-17   1.209809      -1.209809    
  1673  8.2027519E-02   0.000000      4.0078321E-05   0.000000     -2.7179633E-02   0.000000     -1.1647481E-04   0.000000       0.000000       0.000000      5.5749897E-04   0.000000       0.000000       0.000000      5.5749897E-04   0.000000      5.5749897E-04   0.000000      0.1687000      2.6738609E-02   0.000000       0.000000      0.1419614     -5.3315642E-17   1.023268      -1.023268    
  1704  6.7457994E-02   0.000000      1.8013170E-05   0.000000     -1.4569524E-02   0.000000     -2.2065150E-05   0.000000      4.7999999E-03   0.000000      1.9571028E-04   0.000000       0.000000       0.000000      1.9571028E-04   0.000000      1.9571028E-04   0.000000      0.1535500      1.9195879E-02   0.000000       0.000000      0.1343541      3.2807280E-17  0.9140963     -0.9140963    
  1734  5.4383058E-02   0.000000      6.1596886E-06   0.000000     -1.3074936E-02   0.000000     -1.1853482E-05   0.000000      1.4000000E-03   0.000000      7.3743549E-05   0.000000       0.000000       0.000000      7.3743549E-05   0.000000      7.3743549E-05   0.000000      0.1441000      1.4413046E-02   0.000000       0.000000      0.1296870     -2.2361670E-17  0.8083714     -0.8083714    
  1765  0.1001920       0.000000      6.8873115E-05   0.000000      4.5808964E-02   0.000000      6.2713427E-05   0.000000      5.8000001E-02   0.000000      5.5101714E-05   0.000000       0.000000       0.000000      5.5101714E-05   0.000000      5.5101714E-05   0.000000      0.1194000      1.2073222E-02   0.000000       0.000000      0.1073268      3.3474742E-18   1.149978      -1.149978    
  1795  0.1059341       0.000000      1.2024934E-04   0.000000      5.7420997E-03   0.000000      5.1376227E-05   0.000000      2.3399999E-02   0.000000      8.2524968E-04   0.000000       0.000000       0.000000      8.2524968E-04   0.000000      8.2524968E-04   0.000000      9.0600001E-02  1.6781274E-02   0.000000       0.000000      7.3818727E-02 -2.2564958E-17   1.188294      -1.188294    
  1826  0.1275047       0.000000      2.9417013E-04   0.000000      2.1570586E-02   0.000000      1.7392079E-04   0.000000      4.5400002E-02   0.000000      1.6779504E-03   0.000000       0.000000       0.000000      1.6779504E-03   0.000000      1.6779504E-03   0.000000      0.1002000      2.1977545E-02   0.000000       0.000000      7.8222456E-02 -1.4414468E-16   1.326243      -1.326243    
  1857  0.1107049       0.000000      1.5602051E-04   0.000000     -1.6799760E-02   0.000000     -1.3814962E-04   0.000000      2.2000001E-03   0.000000      1.4498631E-03   0.000000       0.000000       0.000000      1.4498631E-03   0.000000      1.4498631E-03   0.000000      8.7800001E-02  1.7688047E-02   0.000000       0.000000      7.0111954E-02 -1.9651164E-17   1.219580      -1.219580    
  1885  9.9999068E-02   0.000000      8.0397124E-05   0.000000     -1.0705880E-02   0.000000     -7.5623388E-05   0.000000      9.0000002E-03   0.000000      6.8232837E-04   0.000000       0.000000       0.000000      6.8232837E-04   0.000000      6.8232837E-04   0.000000      0.1097000      1.9099176E-02   0.000000       0.000000      9.0600824E-02  4.7975946E-18   1.148677      -1.148677    
  1916  0.1148836       0.000000      1.8510457E-04   0.000000      1.4884512E-02   0.000000      1.0470745E-04   0.000000      3.3600000E-02   0.000000      6.9589896E-04   0.000000       0.000000       0.000000      6.9589896E-04   0.000000      6.9589896E-04   0.000000      9.8333334E-02  1.7914881E-02   0.000000       0.000000      8.0418453E-02 -2.3744028E-17   1.246602      -1.246602    
  1946  9.6313602E-02   0.000000      8.5300544E-05   0.000000     -1.8569978E-02   0.000000     -9.9804030E-05   0.000000      3.6000001E-03   0.000000      8.6811536E-04   0.000000       0.000000       0.000000      8.6811536E-04   0.000000      8.6811536E-04   0.000000      0.1194667      2.1401667E-02   0.000000       0.000000      9.8065001E-02  1.4257259E-17   1.123660      -1.123660    
  1977  8.2626755E-02   0.000000      4.1620560E-05   0.000000     -1.3686848E-02   0.000000     -4.3679984E-05   0.000000      1.5199999E-02   0.000000      4.1781259E-04   0.000000       0.000000       0.000000      4.1781259E-04   0.000000      4.1781259E-04   0.000000      0.1871500      2.8512714E-02   0.000000       0.000000      0.1586373     -5.9753092E-17   1.027600      -1.027600    
  2007  6.3679210E-02   0.000000      1.2785797E-05   0.000000     -1.8947545E-02   0.000000     -2.8834763E-05   0.000000      2.0000000E-03   0.000000      1.7204705E-04   0.000000       0.000000       0.000000      1.7204705E-04   0.000000      1.7204705E-04   0.000000      0.1714500      2.0804333E-02   0.000000       0.000000      0.1506457      9.8459110E-18  0.8844006     -0.8844006    
  2038  5.7053672E-02   0.000000      6.9180625E-06   0.000000     -6.6255376E-03   0.000000     -5.8677342E-06   0.000000      1.0199999E-02   0.000000      5.2330128E-05   0.000000       0.000000       0.000000      5.2330128E-05   0.000000      5.2330128E-05   0.000000      0.1806000      1.6779074E-02   0.000000       0.000000      0.1638209     -1.8168857E-17  0.8306847     -0.8306847    
