  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.2500000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.1250000E-04   99.99999    
    31  0.2796916      0.1190467E-01   0.000000      0.2969157E-01  0.1190467E-01   0.000000      0.7080000E-01  0.3153879E-01  0.5200321E-01   0.000000      0.5200321E-01  0.3153879E-01  0.2046442E-01   0.000000      0.7645000E-01  0.8739344E-02  0.6771066E-01  0.4683753E-15  0.1250000E-04   99.99999    
    60  0.2630357      0.8111869E-02   0.000000     -0.1665587E-01 -0.3792799E-02   0.000000      0.6800000E-02  0.3708763E-01  0.5412603E-01   0.000000      0.5412603E-01  0.3708763E-01  0.1703841E-01   0.000000      0.9310000E-01  0.1021026E-01  0.8288974E-01 -0.3087808E-15  0.1250000E-04   99.99999    
    91  0.2709464      0.8566819E-02   0.000000      0.7910724E-02  0.4549501E-03   0.000000      0.2180000E-01  0.4980249E-01  0.5046129E-01   0.000000      0.5046129E-01  0.4980249E-01  0.6587925E-03   0.000000      0.1176500      0.1277553E-01  0.1048745     -0.1663600E-14  0.1250000E-04   99.99999    
   121  0.3178575      0.1225948E-01   0.000000      0.4691111E-01  0.3692666E-02   0.000000      0.1452000       0.000000      0.8153585E-01   0.000000      0.8153585E-01   0.000000      0.8153585E-01   0.000000      0.1078000      0.1306038E-01  0.9473962E-01  0.5030698E-16  0.1250000E-04   99.99999    
   152  0.2630357      0.8945642E-02   0.000000     -0.5482183E-01 -0.3313842E-02   0.000000      0.5680000E-01  0.1293487E-02  0.9604184E-01   0.000000      0.9604184E-01  0.1293487E-02  0.9474835E-01   0.000000      0.1674000      0.2018732E-01  0.1472127      0.8881784E-15  0.1250000E-04   99.99999    
   182  0.2630357      0.8111869E-02   0.000000       0.000000     -0.8337738E-03   0.000000      0.6000000E-03  0.7819604E-01  0.4950499E-01   0.000000      0.4950499E-01  0.7819604E-01 -0.2869105E-01   0.000000      0.2782000      0.3012482E-01  0.2480752     -0.1216041E-14  0.1250000E-04   99.99999    
   213  0.2630357      0.8111869E-02   0.000000       0.000000       0.000000       0.000000       0.000000      0.7953047E-01  0.5029359E-01   0.000000      0.5029359E-01  0.7953047E-01 -0.2923689E-01   0.000000      0.2700000      0.2923689E-01  0.2407631     -0.1294104E-14  0.1250000E-04   99.99999    
   244  0.2630357      0.8111869E-02   0.000000       0.000000       0.000000       0.000000      0.4000000E-03  0.7576914E-01  0.5029359E-01   0.000000      0.5029359E-01  0.7576914E-01 -0.2547555E-01   0.000000      0.2389583      0.2587555E-01  0.2130828     -0.1883910E-14  0.1250000E-04   99.99999    
   274  0.2649523      0.8464593E-02   0.000000      0.1916588E-02  0.3527246E-03   0.000000      0.1640000E-01  0.5258633E-01  0.4897662E-01   0.000000      0.4897662E-01  0.5258633E-01 -0.3609716E-02   0.000000      0.1634917      0.1774040E-01  0.1457513     -0.3417405E-15  0.1250000E-04   99.99999    
   305  0.2630357      0.8111869E-02   0.000000     -0.1916588E-02 -0.3527246E-03   0.000000      0.1300000E-01  0.4857154E-01  0.5103462E-01   0.000000      0.5103462E-01  0.4857154E-01  0.2463083E-02   0.000000      0.1181000      0.1280623E-01  0.1052938     -0.1292369E-14  0.1250000E-04   99.99999    
   335  0.2696963      0.9857509E-02   0.000000      0.6660566E-02  0.1745640E-02   0.000000      0.4840000E-01  0.2037691E-01  0.5307675E-01   0.000000      0.5307675E-01  0.2037691E-01  0.3269984E-01   0.000000      0.6600000E-01  0.7293954E-02  0.5870605E-01 -0.1665335E-15  0.1250000E-04   99.99999    
