  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.2500000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.1250000E-04   99.99999    
    31  0.2805823      0.1211120E-01   0.000000      0.3058234E-01  0.1211120E-01   0.000000      0.7080000E-01  0.3425901E-01  0.5357831E-01   0.000000      0.5357831E-01  0.3425901E-01  0.1931930E-01   0.000000      0.7645000E-01  0.8787164E-02  0.6766284E-01  0.2584738E-15  0.1250000E-04   99.99999    
    60  0.2650214      0.8413544E-02   0.000000     -0.1556094E-01 -0.3697652E-02   0.000000      0.6800000E-02  0.3967549E-01  0.5546223E-01   0.000000      0.5546223E-01  0.3967549E-01  0.1578674E-01   0.000000      0.9310000E-01  0.1027185E-01  0.8282815E-01 -0.2515349E-15  0.1250000E-04   99.99999    
    91  0.2727952      0.8877621E-02   0.000000      0.7773822E-02  0.4640764E-03   0.000000      0.2180000E-01  0.5163580E-01  0.5232589E-01   0.000000      0.5232589E-01  0.5163580E-01  0.6900969E-03   0.000000      0.1176500      0.1287200E-01  0.1047780     -0.3851086E-15  0.1250000E-04   99.99999    
   121  0.3182736      0.1235825E-01   0.000000      0.4547834E-01  0.3480626E-02   0.000000      0.1452000       0.000000      0.8313875E-01   0.000000      0.8313875E-01   0.000000      0.8313875E-01   0.000000      0.1078000      0.1310229E-01  0.9469771E-01  0.3642919E-15  0.1250000E-04   99.99999    
   152  0.2650214      0.9011669E-02   0.000000     -0.5325216E-01 -0.3346577E-02   0.000000      0.5680000E-01  0.3253932E-02  0.9644713E-01   0.000000      0.9644713E-01  0.3253932E-02  0.9319319E-01   0.000000      0.1674000      0.2020554E-01  0.1471945      0.7806256E-15  0.1250000E-04   99.99999    
   182  0.2650214      0.8413544E-02   0.000000       0.000000     -0.5981250E-03   0.000000      0.6000000E-03  0.8023626E-01  0.5107939E-01   0.000000      0.5107939E-01  0.8023626E-01 -0.2915687E-01   0.000000      0.2782000      0.3035500E-01  0.2478450      0.1023487E-15  0.1250000E-04   99.99999    
   213  0.2650214      0.8413544E-02   0.000000       0.000000       0.000000       0.000000       0.000000      0.8162425E-01  0.5216397E-01   0.000000      0.5216397E-01  0.8162425E-01 -0.2946028E-01   0.000000      0.2700000      0.2946028E-01  0.2405397     -0.7979728E-16  0.1250000E-04   99.99999    
   244  0.2650214      0.8413544E-02   0.000000       0.000000       0.000000       0.000000      0.4000000E-03  0.7783723E-01  0.5216397E-01   0.000000      0.5216397E-01  0.7783723E-01 -0.2567325E-01   0.000000      0.2389583      0.2607325E-01  0.2128851     -0.2255141E-15  0.1250000E-04   99.99999    
   274  0.2667466      0.8767640E-02   0.000000      0.1725248E-02  0.3540959E-03   0.000000      0.1640000E-01  0.5433708E-01  0.5078349E-01   0.000000      0.5078349E-01  0.5433708E-01 -0.3553599E-02   0.000000      0.1634917      0.1787426E-01  0.1456174     -0.4510281E-16  0.1250000E-04   99.99999    
   305  0.2650214      0.8413544E-02   0.000000     -0.1725248E-02 -0.3540959E-03   0.000000      0.1300000E-01  0.5072067E-01  0.5289712E-01   0.000000      0.5289712E-01  0.5072067E-01  0.2176452E-02   0.000000      0.1181000      0.1290289E-01  0.1051971      0.1578598E-15  0.1250000E-04   99.99999    
   335  0.2707302      0.1005878E-01   0.000000      0.5708784E-02  0.1645232E-02   0.000000      0.4840000E-01  0.2112774E-01  0.5483157E-01   0.000000      0.5483157E-01  0.2112774E-01  0.3370383E-01   0.000000      0.6600000E-01  0.7342154E-02  0.5865785E-01 -0.8803722E-15  0.1250000E-04   99.99999    
   366  0.3368095      0.3633817E-01   0.000000      0.6607933E-01  0.2627940E-01   0.000000      0.2014000       0.000000      0.1008808       0.000000      0.1008808       0.000000      0.1008808       0.000000      0.6490000E-01  0.8160452E-02  0.5673955E-01  0.1249001E-15  0.1250000E-04   99.99999    
