  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.2500000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.1250000E-04   99.99999    
    31  0.4094824      0.8243450E-01   0.000000      0.1594824      0.8243450E-01   0.000000      0.7080000E-01  0.6137301      0.4298324       0.000000      0.4298324      0.6137301     -0.1838976       0.000000      0.7645000E-01  0.1278069E-01  0.6366931E-01 -0.1734723E-14  0.1250000E-04   99.99999    
    60  0.4094824      0.8217518E-01   0.000000       0.000000     -0.2593250E-03   0.000000      0.6800000E-02  0.4853733      0.4768754       0.000000      0.4768754      0.4853733     -0.8497989E-02   0.000000      0.9310000E-01  0.1555731E-01  0.7754269E-01 -0.9107298E-15  0.1250000E-04   99.99999    
    91  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.2180000E-01  0.5073458      0.5094861       0.000000      0.5094861      0.5073458      0.2140301E-02   0.000000      0.1176500      0.1965970E-01  0.9799030E-01 -0.2543105E-14  0.1250000E-04   99.99999    
   121  0.4318191      0.8534005E-01   0.000000      0.2233666E-01  0.3164869E-02   0.000000      0.1452000      0.3955105      0.4971457       0.000000      0.4971457      0.3955105      0.1016352       0.000000      0.1078000      0.1806325E-01  0.8973675E-01 -0.1089406E-14  0.1250000E-04   99.99999    
   152  0.4094824      0.8217518E-01   0.000000     -0.2233666E-01 -0.3164869E-02   0.000000      0.5680000E-01  0.4630649      0.5173275       0.000000      0.5173275      0.4630649      0.5426261E-01   0.000000      0.1674000      0.2803892E-01  0.1393611     -0.1838807E-14  0.1250000E-04   99.99999    
   182  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.6000000E-03  0.5389392      0.4930511       0.000000      0.4930511      0.5389392     -0.4588813E-01   0.000000      0.2782000      0.4648813E-01  0.2317119     -0.2678413E-14  0.1250000E-04   99.99999    
   213  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000       0.000000      0.5546040      0.5094861       0.000000      0.5094861      0.5546040     -0.4511788E-01   0.000000      0.2700000      0.4511788E-01  0.2248821     -0.4232725E-14  0.1250000E-04   99.99999    
   244  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.4000000E-03  0.5490168      0.5094861       0.000000      0.5094861      0.5490168     -0.3953072E-01   0.000000      0.2389583      0.3993072E-01  0.1990276     -0.4073131E-14  0.1250000E-04   99.99999    
   274  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.1640000E-01  0.5039711      0.4930511       0.000000      0.4930511      0.5039711     -0.1091999E-01   0.000000      0.1634917      0.2731999E-01  0.1361717     -0.2772088E-14  0.1250000E-04   99.99999    
   305  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.1300000E-01  0.5162210      0.5094861       0.000000      0.5094861      0.5162210     -0.6734895E-02   0.000000      0.1181000      0.1973490E-01  0.9836510E-01 -0.2581269E-14  0.1250000E-04   99.99999    
   335  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.4840000E-01  0.4559766      0.4933463       0.000000      0.4933463      0.4559766      0.3736969E-01   0.000000      0.6600000E-01  0.1103031E-01  0.5496969E-01 -0.1847481E-14  0.1250000E-04   99.99999    
   366  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.2014000      0.3548320      0.5452890       0.000000      0.5452890      0.3548320      0.1904570       0.000000      0.6490000E-01  0.1094299E-01  0.5395701E-01 -0.2064321E-14  0.1250000E-04   99.99999    
   397  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.8920000E-01  0.4353505      0.5094861       0.000000      0.5094861      0.4353505      0.7413564E-01   0.000000      0.9015000E-01  0.1506436E-01  0.7508564E-01 -0.1821460E-14  0.1250000E-04   99.99999    
   425  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.4940000E-01  0.4264330      0.4661581       0.000000      0.4661581      0.4264330      0.3972504E-01   0.000000      0.5780978E-01  0.9674962E-02  0.4813482E-01 -0.1783296E-14  0.1250000E-04   99.99999    
   456  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.1298000      0.4129339      0.5320173       0.000000      0.5320173      0.4129339      0.1190833       0.000000      0.6376902E-01  0.1071668E-01  0.5305234E-01 -0.1554312E-14  0.1250000E-04   99.99999    
   486  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.6000000E-03  0.5030126      0.4930511       0.000000      0.4930511      0.5030126     -0.9961562E-02   0.000000      0.6320380E-01  0.1056156E-01  0.5264224E-01 -0.3930883E-14  0.1250000E-04   99.99999    
   517  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.6000000E-03  0.5200573      0.5094861       0.000000      0.5094861      0.5200573     -0.1057122E-01   0.000000      0.6685217E-01  0.1117122E-01  0.5568096E-01 -0.3191891E-14  0.1250000E-04   99.99999    
   547  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.2000000E-03  0.5039112      0.4930511       0.000000      0.4930511      0.5039112     -0.1086015E-01   0.000000      0.6618750E-01  0.1106015E-01  0.5512735E-01 -0.2832803E-14  0.1250000E-04   99.99999    
   578  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000       0.000000      0.5211725      0.5094861       0.000000      0.5094861      0.5211725     -0.1168642E-01   0.000000      0.6993533E-01  0.1168642E-01  0.5824890E-01 -0.3615164E-14  0.1250000E-04   99.99999    
   609  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000       0.000000      0.5214343      0.5094861       0.000000      0.5094861      0.5214343     -0.1194825E-01   0.000000      0.7150217E-01  0.1194825E-01  0.5955393E-01 -0.3861494E-14  0.1250000E-04   99.99999    
   639  0.4132709      0.8929811E-01   0.000000      0.3788442E-02  0.7122935E-02   0.000000      0.1216000      0.4117408      0.5105423       0.000000      0.5105423      0.4117408      0.9880151E-01   0.000000      0.7068750E-01  0.1188711E-01  0.5880039E-01 -0.2789435E-14  0.1250000E-04   99.99999    
   670  0.4094824      0.8217518E-01   0.000000     -0.3788442E-02 -0.7122935E-02   0.000000      0.6080000E-01  0.4575718      0.5168190       0.000000      0.5168190      0.4575718      0.5924714E-01   0.000000      0.7458533E-01  0.1246424E-01  0.6212109E-01 -0.3040970E-14  0.1250000E-04   99.99999    
   700  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.8520000E-01  0.4355159      0.5083552       0.000000      0.5083552      0.4355159      0.7283925E-01   0.000000      0.7367120E-01  0.1236075E-01  0.6131044E-01 -0.3753942E-14  0.1250000E-04   99.99999    
   731  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.2512000      0.3466437      0.5846582       0.000000      0.5846582      0.3466437      0.2380145       0.000000      0.7766848E-01  0.1318550E-01  0.6448298E-01 -0.2314121E-14  0.1250000E-04   99.99999    
   762  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.5000000E-01  0.4742827      0.5110362       0.000000      0.5110362      0.4742827      0.3675353E-01   0.000000      0.7923533E-01  0.1324647E-01  0.6598886E-01 -0.2846681E-14  0.1250000E-04   99.99999    
   790  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.9600000E-02  0.4638310      0.4601810       0.000000      0.4601810      0.4638310     -0.3650017E-02   0.000000      0.7929239E-01  0.1325002E-01  0.6604237E-01 -0.1812786E-14  0.1250000E-04   99.99999    
   821  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.8040000E-01  0.4495671      0.5124931       0.000000      0.5124931      0.4495671      0.6292596E-01   0.000000      0.1045000      0.1747404E-01  0.8702596E-01 -0.1162265E-14  0.1250000E-04   99.99999    
   851  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.5780000E-01  0.4606380      0.4940541       0.000000      0.4940541      0.4606380      0.3341612E-01   0.000000      0.1459000      0.2438388E-01  0.1215161     -0.2921274E-14  0.1250000E-04   99.99999    
   882  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.1900000E-01  0.5244916      0.5094861       0.000000      0.5094861      0.5244916     -0.1500551E-01   0.000000      0.2035000      0.3400551E-01  0.1694945     -0.4100886E-14  0.1250000E-04   99.99999    
   912  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.1400000E-02  0.5277955      0.4930511       0.000000      0.4930511      0.5277955     -0.3474444E-01   0.000000      0.2163000      0.3614444E-01  0.1801556     -0.2546574E-14  0.1250000E-04   99.99999    
   943  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.2000000E-03  0.5543121      0.5094861       0.000000      0.5094861      0.5543121     -0.4482598E-01   0.000000      0.2694500      0.4502598E-01  0.2244240     -0.4544976E-14  0.1250000E-04   99.99999    
   974  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.4000000E-03  0.5419135      0.5094861       0.000000      0.5094861      0.5419135     -0.3242744E-01   0.000000      0.1964500      0.3282744E-01  0.1636226     -0.3004541E-14  0.1250000E-04   99.99999    
  1004  0.4094824      0.8217529E-01   0.000000       0.000000      0.1102901E-06   0.000000      0.1122000      0.4102128      0.4996096       0.000000      0.4996096      0.4102128      0.8939681E-01   0.000000      0.1361500      0.2280308E-01  0.1133469     -0.1207368E-14  0.1250000E-04   99.99999    
  1035  0.4094824      0.8217518E-01   0.000000       0.000000     -0.1102901E-06   0.000000      0.9340000E-01  0.4304751      0.5114012       0.000000      0.5114012      0.4304751      0.8092605E-01   0.000000      0.7460000E-01  0.1247406E-01  0.6212594E-01 -0.1307982E-14  0.1250000E-04   99.99999    
  1065  0.4094824      0.8300616E-01   0.000000       0.000000      0.8309796E-03   0.000000      0.1146000      0.3921203      0.4934283       0.000000      0.4934283      0.3921203      0.1013080       0.000000      0.7455000E-01  0.1246100E-01  0.6208900E-01 -0.2376571E-14  0.1250000E-04   99.99999    
  1096  0.4094824      0.8298736E-01   0.000000       0.000000     -0.1879614E-04   0.000000      0.9380000E-01  0.4300073      0.5113860       0.000000      0.5113860      0.4300073      0.8137877E-01   0.000000      0.7440000E-01  0.1244002E-01  0.6195998E-01 -0.2959438E-14  0.1250000E-04   99.99999    
  1127  0.4094824      0.8217518E-01   0.000000       0.000000     -0.8121834E-03   0.000000      0.4740000E-01  0.4805381      0.5112850       0.000000      0.5112850      0.4805381      0.3074686E-01   0.000000      0.1045000      0.1746533E-01  0.8703467E-01 -0.1255940E-14  0.1250000E-04   99.99999    
  1155  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.7760000E-01  0.3995086      0.4601810       0.000000      0.4601810      0.3995086      0.6067244E-01   0.000000      0.1013000      0.1692756E-01  0.8437244E-01 -0.2615963E-14  0.1250000E-04   99.99999    
  1186  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.6920000E-01  0.4620318      0.5129004       0.000000      0.5129004      0.4620318      0.5086858E-01   0.000000      0.1095941      0.1833142E-01  0.9126269E-01 -0.3150258E-14  0.1250000E-04   99.99999    
  1216  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.8720000E-01  0.4309844      0.4956630       0.000000      0.4956630      0.4309844      0.6467852E-01   0.000000      0.1346559      0.2252148E-01  0.1121344     -0.1471046E-14  0.1250000E-04   99.99999    
  1247  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.7200000E-02  0.5434938      0.5094861       0.000000      0.5094861      0.5434938     -0.3400766E-01   0.000000      0.2466000      0.4120767E-01  0.2053923     -0.4739265E-14  0.1250000E-04   99.99999    
  1277  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.2000000E-03  0.5353454      0.4930511       0.000000      0.4930511      0.5353454     -0.4229436E-01   0.000000      0.2543000      0.4249436E-01  0.2118056     -0.2942091E-14  0.1250000E-04   99.99999    
  1308  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000       0.000000      0.5444831      0.5094861       0.000000      0.5094861      0.5444831     -0.3499699E-01   0.000000      0.2094333      0.3499699E-01  0.1744363     -0.3677614E-14  0.1250000E-04   99.99999    
  1339  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.1000000E-02  0.5417744      0.5094861       0.000000      0.5094861      0.5417744     -0.3228832E-01   0.000000      0.1992081      0.3328832E-01  0.1659198     -0.4461709E-14  0.1250000E-04   99.99999    
  1369  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.6800000E-02  0.5053008      0.4930511       0.000000      0.4930511      0.5053008     -0.1224977E-01   0.000000      0.1140000      0.1904977E-01  0.9495023E-01 -0.2581269E-14  0.1250000E-04   99.99999    
  1400  0.4094824      0.8222933E-01   0.000000       0.000000      0.5415311E-04   0.000000      0.1226000      0.4094345      0.5144070       0.000000      0.5144070      0.4094345      0.1049725       0.000000      0.1049919      0.1757335E-01  0.8741855E-01 -0.2230854E-14  0.1250000E-04   99.99999    
  1430  0.4094824      0.8217518E-01   0.000000       0.000000     -0.5415311E-04   0.000000      0.9560000E-01  0.4227834      0.4976706       0.000000      0.4976706      0.4227834      0.7488724E-01   0.000000      0.1240833      0.2076691E-01  0.1033164     -0.1314920E-14  0.1250000E-04   99.99999    
  1461  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.8740000E-01  0.4373604      0.5108887       0.000000      0.5108887      0.4373604      0.7352826E-01   0.000000      0.8298333E-01  0.1387174E-01  0.6911159E-01 -0.2740863E-14  0.1250000E-04   99.99999    
  1492  0.4094824      0.8217518E-01   0.000000       0.000000       0.000000       0.000000      0.1940000E-01  0.5101594      0.5094861       0.000000      0.5094861      0.5101594     -0.6732793E-03   0.000000      0.1201250      0.2007328E-01  0.1000517     -0.3115563E-14  0.1250000E-04   99.99999    
