  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.2500000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.1250000E-04   99.99999    
    31  0.2670396      0.9302330E-02   0.000000      0.1703960E-01  0.9302330E-02   0.000000      0.7080000E-01   0.000000      0.3630115E-01   0.000000      0.3630115E-01   0.000000      0.3630115E-01   0.000000      0.7645000E-01  0.8156922E-02  0.6829308E-01  0.2949030E-15  0.1250000E-04   99.99999    
    60  0.2370205      0.4915793E-02   0.000000     -0.3001910E-01 -0.4386536E-02   0.000000      0.6800000E-02  0.9356851E-02  0.4103308E-01   0.000000      0.4103308E-01  0.9356851E-02  0.3167622E-01   0.000000      0.9310000E-01  0.9529413E-02  0.8357059E-01 -0.4041906E-15  0.1250000E-04   99.99999    
    91  0.2464224      0.5252002E-02   0.000000      0.9401900E-02  0.3362087E-03   0.000000      0.2180000E-01  0.3014841E-01  0.3070167E-01   0.000000      0.3070167E-01  0.3014841E-01  0.5532567E-03   0.000000      0.1176500      0.1150863E-01  0.1061414     -0.1058181E-14  0.1250000E-04   99.99999    
   121  0.3114969      0.1083855E-01   0.000000      0.6507446E-01  0.5586545E-02   0.000000      0.1452000       0.000000      0.6207652E-01   0.000000      0.6207652E-01   0.000000      0.6207652E-01   0.000000      0.1078000      0.1246247E-01  0.9533753E-01 -0.2775558E-16  0.1250000E-04   99.99999    
   152  0.2604454      0.8705790E-02   0.000000     -0.5105146E-01 -0.2132757E-02   0.000000      0.5680000E-01   0.000000      0.8999172E-01   0.000000      0.8999172E-01   0.000000      0.8999172E-01   0.000000      0.1674000      0.1999250E-01  0.1474075      0.6019490E-15  0.1250000E-04   99.99999    
   182  0.2370205      0.4915793E-02   0.000000     -0.2342490E-01 -0.3789997E-02   0.000000      0.6000000E-03  0.3583349E-01  0.3612249E-01   0.000000      0.3612249E-01  0.3583349E-01  0.2890017E-03   0.000000      0.2782000      0.2752589E-01  0.2506741     -0.1136244E-14  0.1250000E-04   99.99999    
   213  0.2370205      0.4915793E-02   0.000000       0.000000       0.000000       0.000000       0.000000      0.5677744E-01  0.3047792E-01   0.000000      0.3047792E-01  0.5677744E-01 -0.2629952E-01   0.000000      0.2700000      0.2629952E-01  0.2437005     -0.1842276E-14  0.1250000E-04   99.99999    
   244  0.2370205      0.4915793E-02   0.000000       0.000000       0.000000       0.000000      0.4000000E-03  0.5335381E-01  0.3047792E-01   0.000000      0.3047792E-01  0.5335381E-01 -0.2287589E-01   0.000000      0.2389583      0.2327589E-01  0.2156824     -0.1706968E-14  0.1250000E-04   99.99999    
   274  0.2410258      0.5216552E-02   0.000000      0.4005294E-02  0.3007589E-03   0.000000      0.1640000E-01  0.3371220E-01  0.2982427E-01   0.000000      0.2982427E-01  0.3371220E-01 -0.3887927E-02   0.000000      0.1634917      0.1598187E-01  0.1475098     -0.1088539E-14  0.1250000E-04   99.99999    
